food,calories,protein,fat,carbs,fiber,sodium
rice,139.0,3.47,2.43,26.4,1.4,465.0
brown rice,378.0,8.89,3.33,75.6,6.7,0.0
basmati rice,192.0,3.2,1.6,43.2,2.4,0.0
quinoa,357.0,14.3,7.14,64.3,7.1,0.0
oats,375.0,12.5,6.25,67.5,10.0,0.0
wheat flour,467.0,6.67,20.0,66.7,6.7,800.0
semolina,376.0,10.9,2.17,78.3,2.2,22.0
barley,139.0,2.2,2.74,27.23,3.7,199.0
cornmeal,366.0,7.32,2.44,78.0,7.3,0.0
millet,118.0,3.5,1.0,23.57,1.3,168.0
bulgur,341.0,12.5,2.27,67.0,8.0,11.0
bread,146.0,3.57,0.0,32.1,3.6,354.0
white bread,277.0,8.51,3.19,53.2,2.1,532.0
whole wheat bread,233.0,11.6,2.33,44.2,7.0,395.0
pasta,375.0,12.5,1.79,78.6,3.6,0.0
noodles,370.0,11.1,1.85,77.8,3.7,352.0
rice noodles,357.0,7.14,0.89,80.4,0.0,0.0
vermicelli,380.0,12.0,2.0,78.0,4.0,0.0
broccoli,24.0,2.35,0.0,4.71,3.5,24.0
mushroom,80.0,0.88,6.19,5.31,0.9,363.0
pepper,333.0,0.0,0.0,66.7,33.3,0.0
onion,289.0,10.9,0.78,59.4,2.3,430.0
tomato,192.0,3.525,1.85,12.5,1.8,48.0
eggplant,183.0,4.8,14.98,8.15,3.9,209.0
spinach,29.0,2.35,0.0,3.53,2.4,76.0
carrot,44.0,0.87,0.24,9.68,2.9,75.0
potato,171.0,3.89,11.32,13.49,1.5,219.0
sweet potato,106.0,5.45,1.28,16.4,1.9,173.0
cabbage,65.0,1.1,0.5,2.4,1.6,498.0
cauliflower,24.0,2.35,0.0,4.71,2.4,24.0
green peas,79.0,5.62,0.0,13.5,4.5,225.0
zucchini,21.0,1.05,0.0,4.21,1.1,0.0
beetroot,500.0,7.14,25.0,57.1,3.6,536.0
turnip,21.0,2.46,0.19,3.39,2.4,18.0
radish,16.0,0.68,0.1,3.4,1.6,39.0
okra,44.0,3.0,0.0,8.0,1.0,3.0
lettuce,20.0,0.92,0.1,3.69,1.3,23.0
kale,53.0,3.54,0.88,9.73,1.8,44.0
cucumber,34.0,0.5,0.13,6.79,0.5,236.0
pumpkin,36.0,0.8,0.0,8.8,3.2,4.0
corn,56.0,0.8,0.0,12.8,0.8,240.0
sweet corn,64.0,1.6,1.2,7.2,1.6,240.0
asparagus,18.0,2.35,0.0,3.53,2.4,0.0
brussels sprouts,41.0,3.53,0.35,9.41,3.5,24.0
yam,118.0,1.33,0.0,28.0,4.0,9.0
bottle gourd,84.0,1.2,0.2,4.35,1.1,3.0
bitter gourd,192.0,2.0,0.0,7.0,2.0,0.0
ridge gourd,84.0,1.2,0.2,4.35,1.1,3.0
apple,52.0,0.0,0.65,14.3,3.2,0.0
banana,312.0,12.5,6.25,40.6,6.2,594.0
orange,381.0,4.76,0.0,90.5,1.8,381.0
mango,350.0,2.5,0.0,85.0,5.0,0.0
pineapple,192.0,0.0,0.0,78.6,4.3,18.0
peach,411.0,4.44,22.2,53.3,2.2,344.0
pear,59.0,0.37,0.15,15.18,3.1,3.0
grapes,79.0,0.0,0.0,17.5,1.8,0.0
kiwi,61.0,1.35,0.68,14.9,2.7,0.0
watermelon,31.0,0.78,0.25,7.45,0.4,0.0
strawberries,36.0,0.71,0.0,9.29,2.1,0.0
raspberries,50.0,1.43,0.71,12.1,6.4,0.0
blueberries,50.0,0.0,0.71,12.1,2.9,0.0
blackberries,43.0,1.43,0.36,9.29,5.0,0.0
papaya,250.0,2.5,0.0,65.0,10.0,18.0
guava,49.0,0.6,0.2,11.2,5.2,10.0
lemon,300.0,0.0,30.0,6.67,0.0,800.0
lime,328.0,8.82,15.02,39.83,0.8,79.0
figs,275.0,2.5,0.0,65.0,7.5,12.0
dates,300.0,2.5,0.0,75.0,7.5,25.0
avocado,427.0,1.9,43.33,7.36,0.1,867.0
coconut,500.0,3.57,35.7,46.4,3.6,261.0
dragon fruit,68.0,0.68,0.21,16.24,1.8,1.0
lychee,66.0,0.83,0.44,16.53,1.3,1.0
jackfruit,95.0,1.72,0.64,23.2,1.5,2.0
pomegranate,48.0,0.0,0.0,12.1,0.0,15.0
chicken breast,165.0,20.4,8.1,1.06,0.0,433.0
chicken,107.0,21.4,1.79,0.0,0.0,179.0
chicken thigh,193.0,14.0,16.7,0.88,0.0,66.0
turkey,81.0,9.75,1.27,6.78,1.3,521.0
beef,129.0,20.0,5.88,0.0,0.0,212.0
beef steak,214.0,42.9,3.57,7.14,0.0,2750.0
pork,118.0,21.2,4.12,1.18,0.0,212.0
duck,245.0,0.36,0.13,60.66,0.6,712.0
bacon,500.0,7.14,50.0,0.0,0.0,786.0
lamb,259.0,17.0,20.5,0.0,0.0,76.0
salmon,139.0,15.2,7.95,2.65,0.7,331.0
tuna,94.0,5.66,3.77,10.4,0.9,443.0
shrimp,47.0,11.8,0.0,0.0,0.0,494.0
sea bass,97.0,18.4,2.0,0.0,0.0,68.0
sardines,142.0,15.1,9.43,0.0,0.0,349.0
mutton,192.0,14.05,11.58,7.44,0.3,467.0
crab,83.0,17.88,0.74,0.0,0.0,395.0
lobster,97.0,20.91,0.95,0.0,0.0,535.0
anchovies,167.0,20.0,10.0,0.0,0.0,5870.0
octopus,226.0,13.25,12.96,13.39,0.5,518.0
egg,513.0,6.41,28.8,57.7,3.2,176.0
egg yolk,2800.0,33.6,59.1,0.66,0.0,149.0
egg white,55.0,10.7,0.0,2.36,1.8,48.0
milk,55.0,3.39,2.12,5.08,0.0,55.0
whole milk,61.0,3.17,3.38,4.86,0.0,44.0
skim milk,38.0,3.39,0.0,5.51,0.0,53.0
